Date,Open,High,Low,Close,Adj Close,Volume
2022-08-26,465.000000,470.450012,463.950012,465.049988,465.049988,11252560
2022-08-29,451.000000,456.899994,450.149994,453.350006,453.350006,11647725
2022-08-30,458.649994,472.399994,457.100006,471.100006,471.100006,14421066
2022-09-01,462.500000,474.399994,462.149994,466.899994,466.899994,13385159
2022-09-02,470.850006,471.799988,460.149994,461.750000,461.750000,10806707
2022-09-05,459.750000,463.950012,457.000000,459.000000,459.000000,9378108
2022-09-06,462.700012,463.700012,456.600006,457.750000,457.750000,9805875
2022-09-07,453.200012,456.500000,443.649994,445.850006,445.850006,20764508
2022-09-08,452.450012,452.549988,440.000000,442.200012,442.200012,19336014
2022-09-09,447.500000,449.649994,440.600006,445.899994,445.899994,14294289
2022-09-12,447.700012,453.000000,447.000000,451.000000,451.000000,8962633
2022-09-13,454.299988,458.950012,453.549988,456.799988,456.799988,10661280
2022-09-14,447.600006,454.700012,447.000000,450.200012,450.200012,10360461
2022-09-15,452.399994,455.850006,446.049988,447.250000,447.250000,10356713
2022-09-16,446.000000,446.399994,429.100006,432.500000,432.500000,20992324
2022-09-19,431.500000,431.600006,424.049988,425.450012,425.450012,15236142
2022-09-20,430.600006,443.350006,430.600006,434.250000,434.250000,17557661
2022-09-21,433.950012,436.000000,425.500000,427.649994,427.649994,10831068
2022-09-22,425.000000,434.600006,422.549988,432.200012,432.200012,13600786
2022-09-23,431.899994,431.899994,420.549988,423.100006,423.100006,13441609
2022-09-26,416.000000,417.899994,393.149994,397.500000,397.500000,33230938
2022-09-27,403.899994,404.000000,390.350006,398.799988,398.799988,21932747
2022-09-28,394.899994,406.600006,392.850006,399.100006,399.100006,18114880
2022-09-29,411.000000,413.250000,399.600006,402.250000,402.250000,20725995
2022-09-30,398.000000,408.250000,392.500000,404.600006,404.600006,20951277
2022-10-03,405.500000,406.549988,395.500000,397.649994,397.649994,20332430
2022-10-04,406.000000,408.950012,402.899994,407.899994,407.899994,12761425
2022-10-06,409.600006,417.649994,409.500000,414.100006,414.100006,12771199
2022-10-07,413.399994,414.000000,408.700012,412.149994,412.149994,10670854
2022-10-10,403.399994,403.399994,393.049988,395.950012,395.950012,32914630
2022-10-11,397.000000,399.500000,391.299988,393.350006,393.350006,14641301
2022-10-12,394.549988,398.200012,391.100006,396.549988,396.549988,14287344
2022-10-13,396.549988,403.500000,394.549988,399.000000,399.000000,12584114
2022-10-14,407.000000,409.200012,395.299988,396.250000,396.250000,12875470
2022-10-17,394.000000,398.899994,392.500000,396.100006,396.100006,9543556
